Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-11-28 00:00:00-05:00,102.12525215037168,102.30224623176572,101.41727582479547,101.48807525634766,1394222,0.0,0.0
2003-12-01 00:00:00-05:00,103.36425467850195,103.39964991492454,101.87751082911369,102.76248168945312,3302240,0.0,0.0
2003-12-02 00:00:00-05:00,102.76253696886553,104.35547637939452,102.47933894523321,104.35547637939453,4030925,0.0,0.0
2003-12-03 00:00:00-05:00,104.74482448872028,105.13420814610004,103.78906296697377,104.49703979492188,4174341,0.0,0.0
2003-12-04 00:00:00-05:00,104.0721959005518,104.60317823580476,103.01023123004589,103.18722534179688,3267518,0.0,0.0
2003-12-05 00:00:00-05:00,103.2226905097207,104.07225735077371,102.69170786094517,103.01029205322266,2284125,0.0,0.0
2003-12-08 00:00:00-05:00,103.1872577998796,104.10762387250085,103.1872577998796,103.96603393554688,2510773,0.0,0.0
2003-12-09 00:00:00-05:00,104.42622142786122,105.52358171473367,104.21382302090105,104.63861083984375,4110377,0.0,0.0
2003-12-10 00:00:00-05:00,104.95720953948394,105.20499420166016,104.5678169368191,105.20499420166016,3813337,0.0,0.0
2003-12-11 00:00:00-05:00,105.27579430261882,107.8598986162915,105.27579430261882,107.61211395263672,4774348,0.0,0.0
2003-12-12 00:00:00-05:00,107.18729976494326,107.7890726516098,106.01914022703488,106.58551788330078,3430351,0.0,0.0
2003-12-15 00:00:00-05:00,108.2846850016336,108.32008024025656,106.58554264314877,107.36431884765625,4494545,0.0,0.0
2003-12-16 00:00:00-05:00,107.68286861164599,109.02802217466377,106.9394968779974,108.49703979492188,4281403,0.0,0.0
2003-12-17 00:00:00-05:00,108.4970616886375,108.7802505493164,107.75368980498325,108.7802505493164,3607606,0.0,0.0
2003-12-18 00:00:00-05:00,109.27585471168629,109.41744466644765,108.78026738257554,109.2050552368164,4060551,0.0,0.0
2003-12-19 00:00:00-05:00,109.34663391113281,109.73601745824874,108.0014801179417,109.34663391113281,4212510,0.0,0.0
2003-12-22 00:00:00-05:00,109.02809934753374,109.73607635498047,108.78030559593108,109.73607635498047,2709693,0.0,0.0
2003-12-23 00:00:00-05:00,109.55906706096972,110.7626224113955,109.4174680809289,110.09004974365234,2572739,0.0,0.0
2003-12-24 00:00:00-05:00,109.91304746311516,109.94844270804192,108.99268114522303,109.38206481933594,966790,0.0,0.0
2003-12-26 00:00:00-05:00,109.3466320809611,109.62982092821255,108.6740506981344,108.7448501586914,847471,0.0,0.0
2003-12-29 00:00:00-05:00,109.38614396817249,109.8493423461914,108.74479167138347,109.8493423461914,2770143,1.200985,0.0
2003-12-30 00:00:00-05:00,109.84940133568632,109.95629193356565,108.95863126348934,109.45746612548828,2339130,0.0,0.0
2003-12-31 00:00:00-05:00,109.13684757863159,110.38392639160156,108.95869346249303,110.38392639160156,2803016,0.0,0.0
2004-01-02 00:00:00-05:00,110.45515083330574,112.52172698583438,110.17010615895433,110.8827133178711,3053910,0.0,0.0
2004-01-05 00:00:00-05:00,111.3102335389009,112.52167510986328,110.84703502488826,112.52167510986328,3263805,0.0,0.0
2004-01-06 00:00:00-05:00,111.95161440442234,112.34354961857892,111.16773492218755,111.7734603881836,2741750,0.0,0.0
2004-01-07 00:00:00-05:00,111.70216869451706,112.87798309326172,111.02518903653406,112.87798309326172,3093062,0.0,0.0
2004-01-08 00:00:00-05:00,113.51935502507294,114.90895080566408,112.84237525111959,114.90895080566406,4498109,0.0,0.0
2004-01-09 00:00:00-05:00,112.77108013745713,114.69513738213547,112.77108013745713,113.3055419921875,3996753,0.0,0.0
2004-01-12 00:00:00-05:00,113.84001100648598,114.37446384091054,113.73311138568215,114.33883666992188,3101838,0.0,0.0
2004-01-13 00:00:00-05:00,114.05383329068945,114.48139571249291,111.73783999284676,112.62860107421875,4450731,0.0,0.0
2004-01-14 00:00:00-05:00,113.26993008211313,114.16070003119458,112.34353295663654,114.01817321777344,2739135,0.0,0.0
2004-01-15 00:00:00-05:00,114.2675906143003,114.55263518722231,112.7711043429797,114.01817321777344,3300625,0.0,0.0
2004-01-16 00:00:00-05:00,115.44341398170701,119.25589335883551,114.8376885591362,118.82833099365234,8385935,0.0,0.0
2004-01-20 00:00:00-05:00,120.25353292951186,120.25353292951186,118.18695771554434,118.86393737792969,4400872,0.0,0.0
2004-01-21 00:00:00-05:00,119.25592482600413,121.28687375827843,117.6881746141797,120.60989379882812,3561544,0.0,0.0
2004-01-22 00:00:00-05:00,121.07306478096659,121.32248220527352,119.07774349435378,119.43405151367188,2979438,0.0,0.0
2004-01-23 00:00:00-05:00,119.89730996118413,120.75245325586415,117.8663604806893,118.32955932617188,2717770,0.0,0.0
2004-01-26 00:00:00-05:00,119.29154511215398,121.85695585270639,119.0777548478265,121.6431655883789,3552435,0.0,0.0
2004-01-27 00:00:00-05:00,122.03507927320935,122.7833223758923,121.25119994178155,121.8212890625,3377345,0.0,0.0
2004-01-28 00:00:00-05:00,122.21324873427895,123.17528224078937,119.39842974046631,120.28919982910156,4515378,0.0,0.0
2004-01-29 00:00:00-05:00,121.14433010642784,121.67879214383507,119.932888253991,121.251220703125,3461543,0.0,0.0
2004-01-30 00:00:00-05:00,120.64549398297173,121.03743823864052,119.29153436713128,119.82599639892578,2862134,0.0,0.0
2004-02-02 00:00:00-05:00,120.03977759007505,121.00180200416807,118.72144515478568,119.82599639892578,3109448,0.0,0.0
2004-02-03 00:00:00-05:00,119.93294621325255,119.93294621325255,118.04451457925381,118.32955932617188,2738553,0.0,0.0
2004-02-04 00:00:00-05:00,117.7950618422025,121.10871622092165,117.22497251866605,118.2226333618164,3348269,0.0,0.0
2004-02-05 00:00:00-05:00,118.6858082946724,120.07540413766019,117.75941106601388,119.43405151367188,2241960,0.0,0.0
2004-02-06 00:00:00-05:00,118.54331426500761,119.18466701746691,117.51001718043428,118.2226333618164,3051945,0.0,0.0
